FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a playerâ€™s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Nikola Jokic,Den,C,26.71,8,31,64.7,31.2,16.5,34,0.824,95,0.674,37,0.405,0.655,0.684,25.1,13.4,23.6,5.6,34.1,1.5,1,3.63,15.9,123.3,91.4
Derrick Jones Jr.,Chi,F,24.72,4,14.8,30.8,8.9,0,4,1,6,0.833,4,0.25,0.65,0.723,4.3,2,7.3,0,0,1,1.75,0,0,154.8,99.4
Herbert Jones,Nor,F,23.09,8,24.4,50.9,11.8,21.7,5,0.6,36,0.583,5,0.2,0.549,0.556,6,2.3,4.8,1.6,9.8,1.13,0.5,1.5,4.6,99.4,104.3
Kai Jones,Cha,C-F,20.8,3,1.3,2.7,31.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tre Jones,San,G,21.83,8,6.5,13.5,16.6,4.9,3,1,17,0.588,1,0,0.556,0.595,2.9,0.6,5.1,0.9,19.1,0.13,0,0.13,7.1,125.1,105.1
Tyus Jones,Mem,G,25.49,9,16.7,34.8,13.9,2,1,1,26,0.577,22,0.5,0.656,0.661,7.1,2.4,7.9,3.4,30.8,0.89,0,0.11,9.3,151,107.2
DeAndre Jordan,Lal,C,33.29,9,14.2,29.6,11.7,16.8,4,0.5,28,0.786,0,0,0.786,0.773,5.1,5.4,20.3,0.6,5.4,0.33,1.11,0.67,7.2,141.1,95.9
Cory Joseph,Det,G,30.21,9,21,43.8,14.8,10.7,17,0.824,32,0.469,19,0.316,0.471,0.53,6.9,1.3,3.4,3.3,26.1,0.67,0.22,0.78,5.9,114.6,108.7
Georgios Kalaitzakis,Mil,F,22.84,5,5.7,11.8,22,20.5,6,0.167,6,0.333,3,0.333,0.389,0.344,1.6,1,9.1,0,0,0.2,0.2,0.6,0,67,100
Frank Kaminsky,Pho,F-C,28.59,3,14.6,30.4,18.3,10.7,6,1,10,0.6,4,0.25,0.536,0.631,7,2.7,9.6,1,9.8,1.67,0.33,0.67,7.3,127.2,96.5
Enes Kanter,Bos,C,29.46,2,4.9,10.2,22.3,0,0,0,5,0.4,0,0,0.4,0.4,2,2,21.3,0,0,0,0,0,0,102.2,100
Luke Kennard,Lac,G,25.37,8,26.9,56,15,4,5,1,22,0.409,48,0.458,0.6,0.616,11.1,3.4,6.4,2,11.1,0.5,0.13,0.38,6.3,123.7,105.3
Corey Kispert,Was,F,22.68,8,10.5,21.8,9.8,10.7,4,0.75,5,0.8,10,0.2,0.467,0.507,2.1,1.9,9.5,0.9,11.1,0.38,0.38,0.25,5.8,113.5,104.4
Maxi Kleber,Dal,F,29.77,6,18.8,39.2,12.8,11.8,4,1,5,0.6,23,0.478,0.696,0.722,7.2,5.3,14.2,0.5,4.2,0.5,1.17,0.67,5.7,133,92.5
Nathan Knight,Min,F-C,24.13,2,2.3,4.7,8,0,2,1,0,0,0,0,0,1.136,1,1,22.5,0,0,0,0,0,0,0,0
Kevin Knox II,Nyk,F,22.24,2,3,6.1,21.2,69.4,2,0.5,0,0,0,0,0,0.568,0.5,1,17.9,0.5,20.5,0,0,1,8.4,0,0
John Konchar,Mem,G,25.62,8,13,27.1,8.1,15.1,2,0,9,0.778,7,0.143,0.531,0.504,2.1,2.5,10.3,0.9,8.8,0.63,0.38,0.38,5.2,111.7,99.7
Furkan Korkmaz,Phi,G-F,24.29,8,21.2,44.2,22.7,13,15,0.933,29,0.586,38,0.342,0.545,0.591,10.9,1.9,5,3,20.8,0.75,0.25,1.38,7.5,116.5,113.5
Vit Krejci,Okc,G,21.38,2,4.6,9.5,18.4,25.8,2,1,0,0,2,0,0,0.347,1,1,11.2,0,0,0,0,0.5,0,56.8,112.9
Jonathan Kuminga,Gol,F,19.09,3,5.1,10.6,25.4,33.3,0,0,2,0.5,4,0.25,0.417,0.417,1.7,1,10.2,0.3,9.1,0.33,0,1,6.3,57.6,77.9
Kyle Kuzma,Was,F,26.29,9,33.4,69.7,20.8,10.5,23,0.478,63,0.46,55,0.345,0.487,0.492,14,9.6,15.1,1.8,8,0.78,0.56,1.67,7.5,96.7,102
Jeremy Lamb,Ind,G-F,29.44,7,18.7,38.9,21.1,9.4,13,1,25,0.36,27,0.481,0.548,0.606,10,2.3,6.7,0.7,5.6,0.57,0.43,0.86,5.4,113.5,104.8
Jock Landale,San,C,26.03,4,2.7,5.6,28.7,13.7,3,0.667,4,0.75,1,1,0.9,0.87,2.8,0.5,9.9,0.5,35,0,0.25,0.25,13.2,,
Romeo Langford,Bos,G-F,22.03,6,18.6,38.8,13.3,14.8,2,1,13,0.538,15,0.467,0.625,0.641,6.2,2.2,6.1,0.7,5.5,0.33,0,0.83,4.6,114.8,101.5
Zach LaVine,Chi,G-F,26.66,8,35.1,73.2,30.5,10.9,49,0.939,98,0.541,52,0.346,0.533,0.6,25.8,5.5,8.5,4.4,21.4,0.5,0.38,2.63,9.7,115.1,100.3
Jake Layman,Min,F,27.67,2,4,8.3,15.4,0,0,0,2,0.5,1,0,0.333,0.333,1,0.5,6.3,0,0,0.5,0,0,0,71.8,106.5
Damion Lee,Gol,G-F,29.04,7,25.2,52.4,18.8,5.2,16,0.875,33,0.455,33,0.485,0.591,0.63,13.1,3.1,6.4,1,5.8,0.14,0,0.57,5.5,120.3,98.1
Saben Lee,Det,G,22.37,4,6.8,14.1,18.6,17,4,0.5,5,0.4,3,0,0.25,0.307,1.5,0.8,6,0.8,17.2,0.5,0,0.5,5.8,65.8,108.4
Alex Len,Sac,C,28.39,5,18.6,38.8,16.7,19.2,10,0.8,21,0.571,4,0.5,0.6,0.646,7.6,4.2,11.7,1.2,9,0.6,1.6,1.4,7.2,110.8,84.3
Caris LeVert,Ind,G,27.2,4,26,54.2,32.5,6.4,12,0.583,45,0.467,23,0.217,0.419,0.437,16,2.3,4.7,5,31.7,1,0.75,1.25,8.8,96.7,108
Kira Lewis Jr.,Nor,G,20.59,10,14.5,30.1,23.8,21.8,1,1,41,0.439,23,0.217,0.398,0.403,5.2,2,7.3,2.3,25.2,0.2,0,1.8,7.9,77.4,107.6
Damian Lillard,Por,G,31.31,9,34.5,71.8,28.4,11.2,32,0.875,86,0.453,83,0.217,0.391,0.437,17.8,3.9,6,8.8,37.7,0.67,0.11,2.56,9.8,100.2,109.5
Nassir Little,Por,F-G,21.73,9,21.3,44.4,13.5,16.6,12,0.833,25,0.6,20,0.4,0.6,0.636,7.1,5.1,12.9,0.6,3.5,0.56,0.56,1.11,5.2,119.4,104.2
Kevon Looney,Gol,F,25.75,8,15.2,31.6,14.6,14.6,14,0.571,29,0.621,0,0,0.621,0.626,5.5,5.3,17.8,0.8,7,0.38,0.75,0.75,7.5,123.3,84.7
Brook Lopez,Mil,C,33.6,1,28.2,58.8,13.6,0,0,0,5,0.2,4,0.5,0.444,0.444,8,5,9.2,0,0,1,3,0,0,104,102.6
Robin Lopez,Orl,C,33.6,5,11.8,24.6,14.3,15.4,8,0.75,13,0.615,0,0,0.615,0.666,4.4,2.4,10.9,0.6,8.3,0,0.4,0.6,6.3,126.8,108
Didi Louzada,Nor,G,20,2,3.5,7.2,18.2,0,0,0,0,0,3,0,0,0,0,1,15.3,0.5,18.4,0,0,0,0,,
Kevin Love,Cle,F-C,33.16,7,20.7,43.2,23.1,7.7,22,0.909,38,0.447,24,0.208,0.395,0.481,9.9,7.3,18.6,2.3,16.9,0.29,0.14,0.86,10.6,107.7,100.8
Kyle Lowry,Mia,G,35.62,7,31.3,65.2,17,23,7,1,22,0.409,42,0.357,0.492,0.522,10,4.6,7.6,7.1,31.4,1.29,0.29,2.86,8.8,105.9,96.7
Timothe Luwawu-Cabarrot,Atl,G-F,26.5,4,3.7,7.7,22.8,12.7,2,0.5,3,0,3,0.333,0.25,0.291,1,0.8,10.5,0.5,17.3,0,0,0.25,8,,
Trey Lyles,Det,F,26,9,15.7,32.7,22.6,12,29,0.793,27,0.481,26,0.308,0.472,0.555,8.1,4.3,15,1.2,13.7,0.33,0.22,1,8.8,112.3,108
Theo Maledon,Okc,G,20.4,8,15.1,31.5,14.9,26.3,4,0.75,11,0.364,18,0.167,0.293,0.325,2.5,2,6.7,1.4,13.1,0.25,0,1.38,5.1,66.8,108.1
Sandro Mamukelashvili,Mil,F-C,22.46,7,8.7,18.2,12.8,10.9,3,0.667,9,0.444,6,0.5,0.567,0.582,2.7,1.3,7.6,0.3,4.6,0,0,0.29,4.7,115,109.9
Terance Mann,Lac,G-F,25.05,8,29.8,62.2,15.8,10.2,16,0.688,47,0.511,25,0.32,0.5,0.525,10.4,5.3,9,2.9,14.2,1.25,0.25,1.13,7.3,112.2,101.3
Tre Mann,Okc,G,20.76,5,10.5,21.9,21.1,3.9,4,0.25,14,0.5,9,0.333,0.5,0.485,4.8,1,4.8,0.2,3.4,0.2,0.4,0.2,3.8,96.9,105.9
Boban Marjanovic,Dal,C,33.23,4,7.3,15.3,37.4,19.6,8,0.375,17,0.765,0,0,0.765,0.707,7.3,2.5,17.1,0.3,10.7,0,0.25,1.25,9.7,102.3,77.2
Lauri Markkanen,Cle,F-C,24.46,8,30.7,64,19.9,6.2,22,0.864,47,0.447,50,0.28,0.433,0.483,12.9,5.9,10.1,1.5,7.4,1.38,1,0.88,6.3,102.4,103.5
Naji Marshall,Nor,F,23.78,10,15.1,31.4,13.3,24.9,14,0.857,17,0.529,13,0.077,0.35,0.456,3.3,3.7,12.9,1.2,11,0.7,0.3,1.2,6.5,87.7,101
Kenyon Martin Jr.,Hou,F,20.83,7,13.5,28.2,13.4,9.8,4,0.5,21,0.81,5,0.4,0.769,0.756,6,2.6,10,0.9,10.7,0.29,0.14,0.43,7.1,138.8,105
Caleb Martin,Mia,F,26.11,5,12.3,25.6,15.1,13.9,6,0.5,11,0.636,5,0.2,0.531,0.536,4,2.2,9.3,0.4,4.6,1,0.4,0.6,4.9,103,89.4
Cody Martin,Cha,F,26.11,10,24.2,50.5,13.2,7.8,25,0.8,43,0.535,17,0.471,0.583,0.634,9,4.3,9.4,2.2,12.1,1.3,0.6,0.6,7.3,134.6,111.2
Kelan Martin,Ind,F,26.26,3,10.4,21.7,18.5,7.4,1,0,4,0.5,8,0.625,0.792,0.764,6.3,0,0,1.3,20.2,0.33,0,0.33,0,140.9,114.5
Tyrese Maxey,Phi,G,21,9,33.6,70,19,12.7,26,0.846,76,0.566,23,0.348,0.556,0.598,14.7,3.1,5.2,4.3,18.8,0.67,0.44,1.78,6.9,117.9,108.5
Skylar Mays,Atl,G,24.17,4,3.7,7.7,20.8,13.9,5,1,2,1,2,0.5,0.875,0.968,3,0.3,3.5,0.3,10.4,0,0,0.25,7,0,0
Miles McBride,Nyk,G,21.16,4,0.8,1.7,39.4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0
CJ McCollum,Por,G,30.13,9,35.1,73.1,28.9,11.3,20,0.7,94,0.457,86,0.442,0.556,0.567,23.8,4.2,6.5,4,18.9,1.22,1,2.67,8.4,108.6,108
T.J. McConnell,Ind,G,29.62,10,25.4,52.9,15.6,15.2,2,0,62,0.516,15,0.4,0.532,0.526,8.2,3,6.5,5.2,29,1,0.4,1.4,7.9,110.9,105.5
Jalen McDaniels,Cha,F-C,23.76,8,12,25.1,15.2,11.3,12,0.667,9,0.778,17,0.471,0.731,0.735,5.8,1.9,8.2,1,11.5,0.5,0.13,0.5,7.4,136.4,105.7
Jaden McDaniels,Min,F,21.1,8,25.1,52.3,9,20.5,0,0,16,0.5,19,0.263,0.443,0.443,3.9,4.1,8.3,0.9,4.9,1,1,1.13,3.9,88,94
Doug McDermott,San,F,29.84,6,25.8,53.6,14.8,9.2,5,1,20,0.5,27,0.407,0.564,0.589,9.7,2,4.1,1,5.1,0.17,0,0.83,4.2,109.5,103.8
JaVale McGee,Pho,C-F,33.8,7,15.4,32.1,26.1,21.4,19,0.579,43,0.698,0,0,0.698,0.691,10.1,6.3,21.5,0.1,1.6,0,0.71,2,4.8,107.6,91.1
Rodney McGruder,Det,G,30.27,5,4.7,9.8,9.1,0,0,0,2,0,3,0.333,0.3,0.3,0.6,0.6,6.9,0.4,12.6,0,0.2,0,4.5,82.8,111.8
JaQuori McLaughlin,Dal,G,23.77,1,1.7,3.5,0,,0,0,0,0,0,0,,,0,0,0,1,77.1,0,0,0,0,,
Jordan McLaughlin,Min,G,25.58,8,12.7,26.4,12.9,19,6,0.667,11,0.455,12,0.167,0.348,0.39,2.5,1.3,5,2.4,26.4,0.88,0,0.75,6.2,93.2,105.3
Ben McLemore,Por,G,28.73,2,8.7,18,24.5,10.1,2,1,1,1,7,0.286,0.5,0.563,5,0,0,0.5,8.4,0,0,0.5,0,108.1,119.3
De'Anthony Melton,Mem,G,23.44,9,28.1,58.6,19.1,9.6,8,0.75,50,0.42,50,0.38,0.495,0.507,11.7,4.6,8.7,2.4,12.7,1.67,0.89,1.22,7.2,105.4,102.7
Sam Merrill,Mem,G,25.48,3,12.7,26.5,19.1,11.5,3,0.333,0,0,14,0.286,0.429,0.424,4.3,0.7,2.8,1,10.7,0,0,0.67,4.5,86.5,110.7
Khris Middleton,Mil,F,30.24,6,31.5,65.6,30.4,15.6,27,0.852,67,0.522,35,0.257,0.475,0.527,20,4.7,7.7,4.5,24.4,2,0.17,3.5,9.5,99.7,104.6
Paul Millsap,Bro,F,36.74,8,11.5,23.9,16.9,14.4,11,0.727,13,0.462,12,0.25,0.42,0.486,3.6,3.6,16.4,1,12.3,0.25,0.38,0.63,8.2,100.8,85.8
Patty Mills,Bro,G,33.24,9,25.4,53,16.4,5.9,3,0.667,32,0.344,46,0.5,0.583,0.586,10.3,2.1,4.3,3.1,18.6,0.44,0.22,0.56,6.4,121,104.9
Shake Milton,Phi,G-F,25.11,5,21.7,45.3,23.8,14.1,4,0.75,28,0.643,19,0.316,0.574,0.584,11.4,3.4,8.8,3.4,24.6,0.8,0.2,1.6,9.4,114.4,101.1
Davion Mitchell,Sac,G,23.17,9,27,56.2,18.4,7.6,11,0.636,50,0.52,42,0.286,0.478,0.49,10.6,2.2,4.3,3.7,19.1,0.67,0.22,0.89,6.5,105.9,102.9
Donovan Mitchell,Uta,G,25.16,7,32,66.6,35.2,13.4,30,0.9,79,0.494,70,0.329,0.493,0.536,24.9,4.6,7.4,4.9,27.8,1.43,0.29,3.57,10.3,105.9,98.5
Evan Mobley,Cle,C,20.39,10,34.2,71.3,18.2,12.5,33,0.788,99,0.535,13,0.154,0.5,0.545,13.8,7.9,12.2,2.3,10.4,0.9,1.3,1.8,7.4,107.4,100.8
Malik Monk,Lal,G,23.75,9,19.8,41.3,14.4,9.8,8,0.75,20,0.45,32,0.313,0.462,0.486,6,1.6,4.2,1.8,11.3,0.67,0,0.67,5.2,101.7,110.9
Moses Moody,Gol,G,19.44,6,6.8,14.2,15.6,6.7,2,0.5,6,0.5,7,0.286,0.462,0.468,2.2,1.2,8.8,0.5,10,0,0.17,0.17,6.5,95.8,98.5
Ja Morant,Mem,G,22.24,9,34.4,71.7,32.2,16.1,51,0.745,133,0.541,43,0.349,0.537,0.572,25.2,5.6,8.7,7.1,36.8,1.67,0.22,4.22,11.6,109.6,107.1
Marcus Morris Sr.,Lac,F,32.18,2,27.4,57.1,15.6,5,2,1,7,0.571,11,0.273,0.472,0.503,9.5,0.5,0.9,0.5,2.7,1,0.5,0.5,1.9,98.4,96.9
Markieff Morris,Mia,F,32.18,8,18.4,38.3,19.8,13.2,5,1,39,0.513,18,0.333,0.509,0.532,7.9,2.8,7.8,1.3,10.3,0.38,0.13,1.13,6.7,106.4,91.7
Monte Morris,Den,G,26.36,8,28.7,59.8,18.5,13.5,6,0.5,52,0.538,29,0.31,0.512,0.514,10.8,2.3,4.3,4,20.3,0.5,0.13,1.63,6.5,102.2,104.8
Mychal Mulder,Orl,G,27.4,2,3.6,7.4,36.6,16.7,0,0,3,0,2,0.5,0.3,0.3,1.5,1,15,0.5,23.3,0,0,0.5,10.1,,
Trey Murphy III,Nor,F,21.38,10,20.8,43.3,13.3,12.1,5,0.8,14,0.214,42,0.357,0.455,0.473,5.5,2.5,6.3,1,6.8,0.3,0.3,0.8,4.6,94.1,109
Dejounte Murray,San,G,25.13,9,34.4,71.6,24.5,10.6,21,0.714,115,0.487,36,0.361,0.5,0.518,18.4,8.1,12.6,8.2,35.4,2.11,0.44,2.11,12.4,109.6,96.3
Mike Muscala,Okc,F-C,30.35,6,15.4,32,20.9,4.5,13,0.692,14,0.5,23,0.348,0.514,0.55,7.8,3.7,12.1,0.7,7.4,0.67,0.33,0.33,7.1,111.6,100.8
Svi Mykhailiuk,Tor,G-F,24.41,10,18.9,39.3,15.5,14.4,17,0.882,22,0.636,30,0.433,0.644,0.689,8.2,3.2,9.1,1.2,9.2,0.9,0,1,6.7,128.3,97.8
Abdel Nader,Pho,F,28.12,6,10,20.7,15.6,18.5,6,0.833,10,0.3,5,0.2,0.3,0.397,2.3,1.5,7.9,0.3,4.2,0.67,0,0.67,4,75.6,93.3
Larry Nance Jr.,Por,F-C,28.85,9,18.1,37.8,12,19.7,6,0.5,23,0.609,11,0.364,0.588,0.587,4.8,5.2,15.4,1.2,9,0.78,0.44,1,6.9,110.3,100.9
RJ Nembhard Jr.,Cle,G,22.63,1,1.9,4,22.7,0,0,0,1,1,0,0,1,1,2,0,0,1,188,0,0,0,0,,
Aaron Nesmith,Bos,G-F,22.06,6,8.1,16.9,17.9,5,0,0,4,0.5,15,0.267,0.421,0.421,2.7,1.2,7.5,0.7,12.6,0.17,0,0.17,6.5,98.2,100.2
Raul Neto,Was,G,29.47,8,22.2,46.2,17,13,7,1,41,0.659,16,0.25,0.579,0.608,9.1,2.9,6.8,3.3,22.5,1.25,0.13,1.13,8,116.8,100.3
Georges Niang,Phi,F,28.39,9,22.5,46.8,20.1,5.6,12,0.833,24,0.583,55,0.418,0.614,0.635,11.9,2.8,7,1.8,11.7,0.33,0.33,0.56,7,127.4,104.4
Zeke Nnaji,Den,F-C,20.82,2,5,10.4,22,0,0,0,2,0.5,3,0.667,0.8,0.8,4,2,21.9,0,0,0,0,0,0,149.1,83.4
Nerlens Noel,Nyk,C-F,27.58,2,21.2,44.1,8.1,38.1,2,1,4,0.75,0,0,0.75,0.82,4,9.5,23.8,1,6.2,1.5,1,1.5,6.3,142.1,88.9
Jaylen Nowell,Min,G,22.33,3,7.9,16.5,17.4,10,0,0,7,0.286,2,0,0.222,0.222,1.3,0.7,4.3,1.3,24.2,0.33,0,0.33,5.4,70,109.2
Frank Ntilikina,Dal,G,23.28,7,13.7,28.5,17.4,5.2,6,1,15,0.4,19,0.263,0.397,0.45,4.7,2,7.3,0.9,9.7,0.43,0.29,0.29,5.9,102.2,96.5
Jusuf Nurkic,Por,C,27.21,9,25.4,52.8,20,17.8,31,0.677,66,0.576,8,0.125,0.534,0.571,11.1,11.3,24,2,11.5,1.44,0.67,2.11,9.9,112.1,97.7
David Nwaba,Hou,G-F,28.81,8,14,29.2,15.9,9.2,12,0.583,27,0.556,7,0,0.441,0.471,4.6,2.9,10.8,1,10.8,1,0.25,0.5,6.8,100.2,98.4
Jordan Nwora,Mil,F,23.16,9,22.9,47.7,20.8,8.9,9,0.778,42,0.429,46,0.326,0.46,0.478,9.8,4,9,1.6,10.3,0.11,0.78,1,6.9,96.2,109
Semi Ojeleye,Mil,F,26.92,4,16.1,33.5,13.7,9.6,4,0.5,5,0.4,12,0,0.118,0.16,1.5,2.8,8.8,0,0,0.25,0,0.5,0,39.8,102.9
Chuma Okeke,Orl,F,23.22,4,18.3,38.1,18.1,16.3,6,1,11,0.545,12,0.167,0.391,0.468,6,3.3,9.5,1.3,10.7,1,0.5,1.25,6.5,92.9,107.2
Josh Okogie,Min,G,23.18,6,15.6,32.5,12.7,10.4,11,0.545,13,0.385,8,0.25,0.381,0.426,3.7,3,9.7,1,9.1,1.17,0.33,0.5,5.7,99,100.6
Isaac Okoro,Cle,F-G,20.78,4,27,56.3,11.4,7,8,0.625,18,0.556,5,0.2,0.5,0.528,7,2.8,5.4,1.8,9.2,0.5,0.75,0.5,4.9,117.4,102
KZ Okpala,Mia,F-G,22.53,4,3.9,8.2,5.4,0,0,0,1,0,1,1,0.75,0.75,0.8,0.8,10,0,0,0,0,0,0,,
Kelly Olynyk,Det,F-C,30.55,9,22.7,47.2,24,11.4,33,0.636,52,0.558,35,0.314,0.523,0.552,12.4,5.2,12.5,2.4,20.6,1.33,0.67,1.44,9.5,109,100.3
Eugene Omoruyi,Dal,F,24.73,2,5.2,10.8,23.8,0,4,0.5,2,0.5,2,0.5,0.625,0.608,3.5,2.5,24.1,0.5,16.8,0,0,0,12.6,137,91.4
Royce O'Neale,Uta,F,28.42,8,30.6,63.8,9,15.3,1,1,14,0.714,30,0.267,0.5,0.506,5.6,4.5,7.6,2.3,9.8,1.38,0.63,1,5.1,108.3,97.9
Miye Oni,Uta,G-F,24.26,3,2.5,5.2,0,,0,0,0,0,0,0,,,0,0.3,6.9,0.3,16.2,0,0,0,0,,
Cedi Osman,Cle,F,26.58,9,18.3,38.1,19.7,10.7,9,0.556,15,0.467,48,0.5,0.683,0.68,10.1,1.8,5.2,1.4,12.8,0.22,0.11,0.89,6.4,121.5,105.5
Kelly Oubre Jr.,Cha,F-G,25.91,10,27.2,56.6,19.7,4.7,20,0.65,50,0.46,64,0.344,0.491,0.509,12.5,4.6,8.9,1.3,6.7,0.8,0.1,0.6,6.2,107.8,108.4
Kevin Pangos,Cle,G,28.78,3,2.6,5.5,16.4,33.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.33,0,,
Jabari Parker,Bos,F,26.65,4,10.1,21.1,19.4,11.1,0,0,10,0.6,6,0.667,0.75,0.75,6,1.8,9,0.3,4.7,0.25,0.25,0.5,5.9,120.6,97
Eric Paschall,Uta,F,25,8,15.7,32.7,11.1,12,5,0.6,10,0.6,17,0.294,0.5,0.514,3.8,3,9.9,0.6,5.4,0.25,0.13,0.5,4.8,114.3,101.9
Chris Paul,Pho,G,36.5,7,32.2,67.1,18.2,18.9,26,0.808,49,0.49,17,0.353,0.5,0.562,12.4,4.4,7.2,12,51.3,2.43,0.57,2.57,10.8,123.3,96.3
Cameron Payne,Pho,G,27.25,2,16.6,34.6,27.9,18.6,8,0.625,8,0.375,6,0.167,0.321,0.4,7,2.5,7.9,3.5,28.5,0.5,0,2,9.5,85.5,97.2
Gary Payton II,Gol,G,28.93,8,9,18.8,20.6,14.4,4,1,19,0.737,9,0.556,0.768,0.79,5.9,1.9,10.7,0.8,14,0.75,0.13,0.63,9.2,135.8,89
