FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a playerâ€™s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Elfrid Payton,Pho,G,27.7,5,14.9,31.1,22.2,18.2,8,0.5,27,0.556,1,0,0.536,0.539,6.8,3.4,12,3,30.5,0.6,0,1.4,11,107.6,93.7
Jamorko Pickett,Det,F,23.87,3,2.9,6,9.9,50,0,0,0,0,1,1,1.5,1.5,1,0,0,0,0,0,0,0.33,0,,
Mason Plumlee,Cha,F-C,31.67,10,26.5,55.2,12.2,15.5,31,0.29,52,0.538,0,0,0.538,0.495,6.5,7.8,15.5,2.6,12.7,0.9,1.2,1.2,7.7,109,105.4
Jakob Poeltl,San,C,26.06,7,29.8,62.1,18,13.5,13,0.385,71,0.648,0,0,0.648,0.632,13.9,9.7,17.4,2.6,12.7,0.86,1.14,1.71,9.5,127.2,96.2
Aleksej Pokusevski,Okc,C,19.86,8,13.6,28.3,20.9,20.9,6,0.667,19,0.526,20,0.25,0.449,0.468,4.9,4.1,15.4,1,12,0.63,0.38,1.38,8,83.5,101.6
Jordan Poole,Gol,G,22.38,8,28.4,59.1,27.5,13.7,8,0.875,60,0.567,62,0.355,0.549,0.562,17.6,2.4,4.3,3.3,18.8,1.38,0.38,2.5,7.3,99.7,92.9
Kevin Porter Jr.,Hou,G-F,21.51,8,31.8,66.2,23.5,26.9,20,0.7,50,0.5,47,0.298,0.474,0.501,13.3,4.5,7.5,5.1,25.2,1.5,0.38,4.88,8.5,87.3,101.8
Michael Porter Jr.,Den,F,23.36,8,32.2,67.2,19.6,10.4,9,0.556,53,0.491,46,0.217,0.414,0.422,10.9,6.9,11.7,2.1,9.3,1.25,0.25,1.5,6.7,86.8,99.6
Otto Porter Jr.,Gol,F,28.43,8,17.1,35.6,14.1,11.2,4,0.75,15,0.6,23,0.391,0.592,0.604,6,3.9,11.7,1.4,11.1,0.75,0.5,0.63,7.5,117.2,91.7
Bobby Portis,Mil,F,26.74,4,20.4,42.4,26.5,9.9,4,0.75,33,0.455,11,0.182,0.409,0.426,9.8,6,15.2,0.5,4,0.25,0.75,1.25,6.1,89.9,98.8
Kristaps Porzingis,Dal,F-C,26.26,3,25.8,53.8,29.3,9.5,11,0.727,26,0.346,17,0.235,0.349,0.397,12.7,6,11.6,0.7,4.3,0.67,2,1.67,5.8,83.8,97.1
Dwight Powell,Dal,F-C,30.3,8,24.3,50.7,13.8,16,26,0.654,36,0.583,5,0.4,0.585,0.62,8.1,4.6,9.5,1,6.4,0.88,0.63,1.25,5.5,120.1,92
Norman Powell,Por,G,28.45,7,28.4,59.1,21.5,5,24,0.917,49,0.571,35,0.457,0.619,0.666,18,2.7,5.1,1.4,7.9,0.86,0.57,0.71,5.7,131.3,110.6
Joshua Primo,San,G,18.87,2,2.9,5.9,14.9,0,0,0,1,1,1,1,1.25,1.25,2.5,0.5,9.3,0,0,0,0,0,0,,
Taurean Prince,Min,F,27.63,8,15,31.3,14.9,13.8,8,0.625,10,0.4,24,0.167,0.294,0.333,3.1,2.3,7.6,0.8,7,0.38,0,0.75,4.8,74.9,100.3
Payton Pritchard,Bos,G,23.77,8,11.8,24.6,13.4,17.2,0,0,6,0.167,18,0.333,0.417,0.417,2.5,2.1,9.4,1.5,18,0,0.25,0.63,6.7,93.8,100.5
Immanuel Quickley,Nyk,G,22.39,9,14.6,30.3,21.8,7.6,11,0.909,25,0.4,31,0.226,0.366,0.419,5.7,1.6,5.7,1.4,14.2,0.67,0,0.56,6.4,94.3,103.3
Julius Randle,Nyk,F-C,26.94,9,36.8,76.6,27.6,13.8,56,0.804,106,0.462,51,0.353,0.484,0.542,21.9,11.3,16.3,5.7,24.6,0.67,1.11,3.22,12.2,111.3,100
Austin Reaves,Lal,G,23.44,8,20.2,42.2,10.2,17.6,4,1,11,0.818,20,0.35,0.629,0.656,5.4,1.6,4.3,0.8,4.6,0.25,0.25,0.88,3.8,109.8,107.2
Cam Reddish,Atl,F-G,22.18,9,22.9,47.8,25.8,12.9,23,0.87,56,0.446,42,0.381,0.5,0.546,13.1,2.7,6,1,6.7,1.44,0.11,1.78,5.7,101.3,105.5
Paul Reed,Phi,F,22.4,6,7.4,15.3,13.4,0,0,0,12,0.5,1,0,0.462,0.462,2,2.5,19.1,0.8,15.7,0.17,0.5,0,8.6,132.1,92.1
Naz Reid,Min,C-F,22.2,8,14.5,30.2,23.6,12,15,0.667,28,0.643,24,0.292,0.548,0.572,8.4,2.8,9.6,0.9,10.7,0.75,1,1,7.6,107.9,90.5
Nick Richards,Cha,C,23.94,7,6.8,14.3,14.5,17.9,4,1,12,0.667,0,0,0.667,0.727,2.9,1.1,8.8,0.3,5.9,0.43,0.57,0.43,5.8,128,106.4
Josh Richardson,Bos,G,28.14,7,21.4,44.5,14.7,12,5,0.8,21,0.524,21,0.333,0.512,0.532,6.7,2.7,6.6,1,7.1,0.57,0.43,0.86,4.9,104.8,103.9
Austin Rivers,Den,G,29.26,6,12,25.1,15.2,24.1,2,0.5,10,0.3,8,0.25,0.333,0.344,2.2,0.8,3.8,0.8,8.9,0.17,0,1,3.7,64.7,105.4
Duncan Robinson,Mia,F,27.54,8,29,60.4,16.7,8.8,4,0.75,9,0.556,72,0.333,0.506,0.514,10.6,4.3,7.6,1.1,5.5,0.38,0.25,1,5.1,101.9,95
Jeremiah Robinson-Earl,Okc,F,21.01,8,16.6,34.6,13.2,22.1,4,0.5,15,0.667,15,0.4,0.633,0.63,5,3.5,10.7,0.4,3.6,0.25,0.13,1.13,4.6,104.4,109.2
Justin Robinson,Mil,G,24.07,9,15.6,32.5,13.3,18.2,2,1,12,0.583,23,0.348,0.543,0.557,4.4,1.1,3.7,1.2,11,0.78,0,0.89,4.6,101.8,105.8
Mitchell Robinson,Nyk,C-F,23.6,9,28.6,59.6,8.4,16.1,22,0.545,32,0.813,0,0,0.813,0.768,7.1,8.6,15.8,1.2,5.9,0.56,1.22,0.89,5.9,150.4,97.8
Isaiah Roby,Okc,F,23.76,5,10.3,21.4,22.5,11.2,4,1,15,0.533,7,0.286,0.5,0.547,5.2,2.2,10.9,0.4,7,0,0.2,0.6,6.4,108,98.7
Rajon Rondo,Lal,G,35.7,5,16.9,35.3,20.1,29.3,0,0,19,0.316,10,0.4,0.414,0.414,4.8,1.8,5.6,4.2,31.7,1,0,2.4,7.8,82.5,104.2
Derrick Rose,Nyk,G,33.09,9,22,45.9,24.8,11.5,12,0.917,62,0.468,33,0.455,0.542,0.568,12.7,3.1,7.5,2.9,21.6,1,0.33,1.44,8.8,113.3,108.5
Terrence Ross,Orl,G-F,30.75,10,26.4,55,15.5,11.6,22,0.864,33,0.545,41,0.317,0.507,0.562,9.4,1.8,3.6,1.8,10.8,0.7,0.2,1.1,4.7,109.1,111
Terry Rozier,Cha,G,27.64,5,31.1,64.7,21.2,15.1,10,0.9,27,0.333,36,0.278,0.381,0.423,11.4,3.4,5.8,3,12.8,0.8,0.2,2.4,6.3,83.8,116.1
Ricky Rubio,Cle,G,31.04,10,27.6,57.4,23.5,19.3,21,0.857,65,0.369,47,0.34,0.429,0.47,11.4,3.8,7.3,6.5,35.7,1.2,0.2,2.9,9.5,96.4,99.7
D'Angelo Russell,Min,G,25.7,6,28,58.3,28.6,16.3,13,0.769,47,0.426,45,0.289,0.429,0.455,14.8,3.8,6.9,4.5,27.5,0.83,0.67,3.17,9,89.1,104
Domantas Sabonis,Ind,F-C,25.51,10,37.5,78.2,21.4,18.8,41,0.707,100,0.71,33,0.242,0.624,0.646,19.5,11,16.1,4.2,17.4,1.4,0.3,3.5,10.3,116.1,101.4
Tomas Satoransky,Nor,G,30.02,5,13.2,27.4,13.9,22.9,2,1,14,0.429,2,0.5,0.469,0.504,3.4,0.6,2.4,1.6,17.8,0.6,0,1,4.5,92.1,112.4
Dennis Schroder,Bos,G,28.14,9,30.9,64.4,21.7,13.7,37,0.838,63,0.397,40,0.325,0.432,0.503,13.3,3.9,6.6,6,30.3,1.44,0.11,2.11,8.8,108,103.4
Jay Scrubb,Lac,G,21.18,2,6.1,12.7,24.2,0,2,0.5,4,0.25,2,0.5,0.417,0.436,3,0.5,4.2,0,0,0,0,0,0,89.7,86.3
Wayne Selden,Nyk,G,27.1,1,1,2.1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Alperen Sengun,Hou,C,19.29,8,20.3,42.4,22.6,25.8,28,0.75,44,0.455,10,0.3,0.454,0.528,8.8,4.4,11.3,2.5,18.8,2.13,0.38,2.88,9,93.9,89.6
Collin Sexton,Cle,G,22.84,10,30.4,63.3,27.1,16.7,39,0.744,100,0.53,42,0.262,0.489,0.528,16.8,3.5,6.1,1.9,10.5,1,0,3.2,6.3,94,102.8
Landry Shamet,Pho,G,24.65,7,16.9,35.3,14.8,9.8,9,0.778,8,0.5,25,0.4,0.576,0.609,6.4,2,6.2,1.3,10.2,0.14,0,0.57,6,119,100.6
Day'Ron Sharpe,Bro,F,20,4,3.5,7.2,15.8,0,2,0,2,1,2,0.5,0.875,0.717,1.8,0.5,7.5,0,0,0,0,0,0,,
Anfernee Simons,Por,G,22.41,9,23.1,48.1,22.1,8.4,5,1,41,0.61,55,0.455,0.651,0.662,14.4,2.2,5.2,2,14,0.56,0.11,1,6.9,124.8,108.2
Jericho Sims,Nyk,C,23.05,4,6.1,12.8,5.1,34.7,2,0.5,1,1,0,0,1,0.798,0.8,1.5,13,0,0,0.25,0,0.25,0,92.9,98.1
Marcus Smart,Bos,G,27.67,8,35.1,73.2,14.9,17.7,16,0.75,22,0.364,50,0.28,0.403,0.443,8.8,3.6,5.4,3.8,15.3,2.38,0.5,2.13,5.6,87.6,102.5
Dennis Smith Jr.,Por,G,23.95,5,11.7,24.4,16.1,27.2,7,0.429,11,0.455,2,1,0.615,0.591,3.8,1.4,6.4,2.6,30,0.8,0.4,1.2,8.2,108.2,108.4
Ish Smith,Cha,G,33.34,10,17.8,37.1,20.7,11.3,6,0.333,74,0.392,2,0.5,0.401,0.401,6.3,1.5,4.4,3.3,26.1,0.5,0.3,1,7.1,89.4,114.5
Jalen Smith,Pho,F-C,21.64,2,9.2,19.1,21.9,10.7,3,1,6,0.5,1,0,0.429,0.541,4.5,3,17.3,0,0,0.5,0.5,0.5,0,111.2,90.9
Tony Snell,Por,G,29.99,3,7.1,14.9,10,0,0,0,0,0,5,0.4,0.6,0.6,2,0.7,5,0,0,0,0,0,0,120.7,106.9
Jaden Springer,Phi,G,19.12,1,2.1,4.4,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Lamar Stevens,Cle,F,24.33,6,10.1,21,15,9.5,0,0,14,0.214,5,0.2,0.237,0.237,1.5,1.8,9.6,0.2,2.2,0.33,0,0.33,3.2,66,100.4
Isaiah Stewart,Det,F-C,20.46,9,23.8,49.7,14,14.2,5,0.6,52,0.615,6,0.167,0.578,0.581,7.8,7,15.9,1.1,8.2,0.56,1.33,1.11,6.6,111.1,101.9
Max Strus,Mia,G-F,25.61,6,17.3,36,14.6,5.7,3,0.333,8,0.5,24,0.375,0.547,0.54,6,2.7,8,0.8,6.8,0.33,0.17,0.33,5.4,111.5,99.4
Jalen Suggs,Orl,G,20.43,10,29,60.5,27,19.3,39,0.846,72,0.375,57,0.228,0.36,0.431,12.6,3.3,6.1,3.4,19.3,0.9,0.5,3.5,7.2,83.2,103.3
Jae'Sean Tate,Hou,F,26.03,8,26.7,55.5,18.2,19.2,9,1,50,0.56,22,0.273,0.514,0.546,10.4,6.1,12.1,2.5,14.8,0.63,0.63,2.25,8.1,103.3,100.9
Jayson Tatum,Bos,F-G,23.68,9,37.2,77.4,31.7,8.7,47,0.745,131,0.427,70,0.271,0.42,0.46,22.7,8.1,11.4,3.4,16.8,0.89,0.78,2.33,9.2,93.7,101.3
Garrett Temple,Nor,G-F,35.5,8,18.5,38.6,13.5,14.6,11,0.818,15,0.467,21,0.333,0.486,0.539,5.5,3.1,8.9,1.1,8.7,0.75,0.88,0.88,5.7,109,108.1
Daniel Theis,Hou,F-C,29.59,6,22,45.9,14,4.5,11,0.818,22,0.545,16,0.25,0.474,0.525,7.5,5,12,0.5,3.4,0,0.33,0.33,4.8,114.8,101.9
Cam Thomas,Bro,G,20.07,5,3.3,7,21,12.7,2,1,4,0,2,0,0,0.145,0.4,0.2,3.1,0.2,7.4,0,0,0.2,3.1,,
Matt Thomas,Chi,G,27.26,1,2.4,5,18.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tristan Thompson,Sac,C-F,30.65,6,13.7,28.5,14.1,14.7,5,0.6,21,0.571,0,0,0.571,0.582,4.5,4.2,15.8,0.5,5.1,0.17,0.33,0.67,6.2,120.8,96.2
JT Thor,Cha,F,19.2,2,1,2.1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Matisse Thybulle,Phi,G-F,24.68,9,25,52,9.9,16.4,2,1,21,0.619,19,0.316,0.55,0.563,5.1,2.3,5.3,1.3,6.9,2.33,1.67,0.89,4,107.7,105.3
Killian Tillie,Mem,F-C,23.67,3,7.1,14.9,15.7,12.5,0,0,3,0,4,0,0,0,0,1.7,12.6,0,0,1,0.67,0.33,0,27.4,100.6
Xavier Tillman Sr.,Mem,F,22.82,7,14.8,30.8,13.9,14.6,5,0.6,19,0.684,8,0.125,0.537,0.548,4.6,3.1,11.4,1.1,10.9,1.57,0.14,0.71,6.8,111.8,101.9
Isaiah Todd,Was,F,20.06,1,4.5,9.4,28,0,2,0.5,0,0,2,0.5,0.75,0.694,4,1,11.7,0,0,1,0,0,0,132.8,97.3
Obi Toppin,Nyk,F,23.68,9,15.3,31.8,17.9,7.1,22,0.591,28,0.786,15,0.133,0.581,0.598,7,2.6,8.9,0.8,7.8,0.44,0.89,0.44,6.4,120.6,99.1
Juan Toscano-Anderson,Gol,F,28.58,8,12.9,26.8,12,17.4,4,0.75,11,0.455,11,0.364,0.5,0.526,3.1,2,8,1.8,17.7,0.75,0.25,0.63,6.9,110.3,91.6
Karl-Anthony Towns,Min,C-F,25.98,8,34.4,71.6,26.5,19.2,37,0.865,76,0.526,51,0.49,0.61,0.653,23.4,9.3,13.6,3.5,18.7,1.63,1.25,4.25,10.6,114.3,97.3
Gary Trent Jr.,Tor,G-F,22.8,10,33.4,69.5,20.2,6.2,21,0.857,78,0.423,63,0.365,0.479,0.509,15.3,3.3,5.3,1.4,6.3,3,0.4,1,5,107.4,100.5
P.J. Tucker,Mia,F,36.51,8,27.7,57.6,8.7,8.8,5,0.6,13,0.462,26,0.308,0.462,0.473,4.9,5.1,9.7,1.6,7.6,0.5,0,0.5,4.9,114.3,97.4
Myles Turner,Ind,C-F,25.62,10,27.4,57,19.7,12.8,36,0.667,42,0.714,51,0.412,0.661,0.675,14.7,7.9,15.8,1.2,6.6,0.5,2.7,1.6,7.6,121.6,102.6
Jonas Valanciunas,Nor,C,29.5,10,33.5,69.8,23.4,12.8,45,0.889,128,0.492,16,0.563,0.531,0.589,19.3,14.2,22.3,2.7,14,0.7,1,2.4,10.8,117,102.6
Denzel Valentine,Cle,G,27.97,5,2.4,5,14.4,0,0,0,2,0,2,0.5,0.375,0.375,0.6,0.2,4.4,0,0,0.2,0,0,0,,
Jarred Vanderbilt,Min,F,22.59,8,20.2,42.1,12.8,15.9,10,0.9,34,0.559,4,0,0.5,0.554,5.9,6.8,16.9,0.8,5.6,0.88,0.38,1,6.3,112.4,93.8
Fred VanVleet,Tor,G,27.7,10,38.6,80.4,22.5,15.5,24,0.75,91,0.484,73,0.37,0.515,0.536,18.7,5.3,7.4,7.1,28.3,1.5,0.4,3.2,9.2,108.9,104.1
Devin Vassell,San,G-F,21.2,9,26,54.2,19.2,8.5,12,0.667,51,0.529,41,0.366,0.538,0.55,11.9,4.1,8.4,1.7,8.9,1.44,0.67,1,6.7,106.4,97.7
Gabe Vincent,Mia,G,25.39,7,7.1,14.9,11.1,30.8,0,0,4,0.75,5,0.2,0.5,0.5,1.3,1,7.3,1.6,29.2,0,0,0.57,7.2,109.1,95.6
Nikola Vucevic,Chi,C,31.04,8,34.4,71.6,21.7,9.7,18,0.722,81,0.432,32,0.281,0.429,0.455,13.8,10.8,16.9,4.6,20,1.38,0.88,1.63,10.3,100.5,92.7
Dean Wade,Cle,F-C,24.96,7,12.8,26.8,13,7.4,0,0,10,0.8,15,0.2,0.5,0.5,3.6,2.9,11.8,0.9,9.8,0.43,0,0.29,6.6,109.1,96.4
Franz Wagner,Orl,F,20.2,10,31.8,66.1,18,6.8,12,0.667,65,0.538,53,0.396,0.564,0.572,14.1,3.5,5.9,1.9,10.5,1.1,0.6,0.9,5.7,114.6,107.2
Moritz Wagner,Orl,F-C,24.53,9,11.6,24.2,21.2,13.7,12,0.5,11,0.455,28,0.357,0.513,0.519,5.1,2.8,12.8,0.6,7.9,0,0.11,0.78,7.1,95.8,94.4
Lonnie Walker IV,San,G-F,22.9,9,23.8,49.5,21.4,12.9,12,0.833,41,0.488,48,0.354,0.511,0.536,11.2,3.2,7.2,2.9,16.7,0.78,0.33,1.56,7.9,101.8,101.9
Kemba Walker,Nyk,G,31.5,9,26.4,55.1,20,12.7,11,0.727,37,0.378,54,0.481,0.582,0.595,12.7,3,6,3,17.2,1.22,0.33,1.56,7.4,112.3,106.3
Brad Wanamaker,Ind,G,32.29,6,14,29.2,16.8,27.5,4,0.75,15,0.2,7,0.429,0.341,0.379,3,1.8,7.2,2.8,25.8,0,0.67,1.5,7.1,82.9,101.2
Duane Washington Jr.,Ind,G,21.62,2,2.2,4.6,29.4,0,0,0,1,1,2,0.5,0.833,0.833,2.5,0.5,12.5,0,0,0,0,0,0,,
P.J. Washington,Cha,F,23.21,7,21.1,44,19.4,13,14,0.786,32,0.531,22,0.364,0.537,0.573,9.9,4.6,11.4,1.4,9.5,0.71,1,1.29,7.6,111.3,111.7
Russell Westbrook,Lal,G,32.98,9,35.8,74.5,29.4,18.9,35,0.629,131,0.496,38,0.263,0.473,0.493,20.2,8.4,12.5,8.1,34,1.33,0.11,4.78,12.4,96.5,102.4
Derrick White,San,G,27.35,9,32.4,67.6,18.8,12.3,25,0.76,57,0.491,46,0.348,0.505,0.539,13.7,3.4,5.7,5.7,23.3,1.11,1,1.78,7.9,109.8,101.2
Hassan Whiteside,Uta,C,32.4,8,15.9,33.1,16.7,15.9,12,0.917,37,0.568,0,0,0.568,0.627,6.6,7.6,24.8,0.3,2.4,0.38,1.63,1,6.2,121.5,80.9
Andrew Wiggins,Gol,F,26.7,8,29.4,61.3,23.2,7.9,21,0.762,67,0.493,41,0.366,0.514,0.542,15.9,4.5,7.9,1.6,8.5,0.88,0.38,1.25,6.6,106,97.7
Robert Williams III,Bos,C-F,24.06,8,30.7,64,10.8,13.2,15,0.667,46,0.696,0,0,0.696,0.703,9.3,8.5,14.4,1.4,6.9,1.13,2.13,1,6.3,142.2,104.7
Grant Williams,Bos,F,22.93,9,18.8,39.2,13,10,14,0.857,14,0.643,25,0.44,0.654,0.698,7,2.4,6.8,1.2,9.9,0.22,0.44,0.56,5.8,135.2,103.5
Kenrich Williams,Okc,G-F,26.93,8,21.8,45.5,15.7,12.6,8,0.5,31,0.419,21,0.381,0.481,0.486,6.8,3.8,8.7,1.4,10,0.38,0.25,1,6.1,96.7,104.9
Lou Williams,Atl,G,35.03,6,11.8,24.5,24.6,4.9,8,1,25,0.36,10,0.2,0.343,0.415,5.3,1.7,7.3,1.3,16.3,0.67,0.17,0.33,7.7,95.6,103.8
Patrick Williams,Chi,F,20.2,5,24.9,52,9.5,7.5,4,1,17,0.588,6,0.5,0.63,0.666,6.6,2.2,4.8,0.6,3.3,0.6,0.4,0.4,3.3,126.6,98.8
Ziaire Williams,Mem,F,20.15,9,18.4,38.3,16,12.7,2,1,14,0.357,40,0.325,0.454,0.465,5.7,1.4,4.2,0.6,4.1,0.78,0.44,0.89,3.7,90,103.5
Dylan Windler,Cle,G-F,25.12,6,8.8,18.3,13.8,5.9,2,1,7,0.714,8,0.375,0.633,0.661,3.5,0.8,5,1,17.4,0.33,0,0.17,6.4,138.1,105.3
Justise Winslow,Lac,F-G,25.61,7,10.3,21.4,21.4,25.1,2,0.5,21,0.429,5,0,0.346,0.353,2.7,2,9.9,1.1,16.2,0.43,0.57,1.29,7,69.5,94.9
Christian Wood,Hou,F,26.11,8,34.2,71.3,23.7,8.9,40,0.525,79,0.532,47,0.383,0.548,0.554,19.9,12.5,19.3,2.4,12.1,0.63,1,1.75,9.8,110.4,100.8
McKinley Wright IV,Min,G,23.03,1,4.1,8.5,20.1,50,0,0,0,0,1,1,1.5,1.5,3,0,0,0,0,0,0,1,0,73.5,117.8
Delon Wright,Atl,G,29.53,8,10.5,21.8,12.3,20.8,0,0,14,0.5,5,0.2,0.447,0.447,2.1,2.4,11.8,1.9,23.8,0.38,0,0.63,8.1,106.6,108.3
Thaddeus Young,San,F,33.38,6,15.4,32,17.9,23.1,0,0,28,0.607,2,0,0.567,0.567,5.7,3.7,12.7,2.8,25.8,1.17,0.83,1.5,10.1,108,91.4
Trae Young,Atl,G,23.13,9,34.4,71.8,31.4,12.3,50,0.92,130,0.462,47,0.255,0.441,0.508,22.4,3.8,5.7,9.2,43.4,0.89,0.22,3.11,10.7,108.5,109.5
Omer Yurtseven,Mia,C,23.38,6,3.3,6.8,27,8,1,0,11,0.636,0,0,0.636,0.612,2.3,1.2,18.5,0,0,0,0,0.17,0,0,0
Cody Zeller,Por,F-C,29.09,9,15.9,33.2,14.1,14.9,23,0.609,27,0.667,3,0,0.6,0.623,5.6,5.2,17.6,1,8.6,0.33,0.22,0.78,7.7,128.4,96.4
Ivica Zubac,Lac,C,24.64,8,23.3,48.4,14.7,12.5,27,0.63,44,0.614,0,0,0.614,0.635,8.9,6.6,14.5,1.6,10.5,0.63,0.63,1,7.8,127,100
Wayne Ellington,Lal,G,33.94,1,8.5,17.7,29.4,0,0,0,1,0,5,0.2,0.25,0.25,3,2,12.5,1,15.1,0,0,0,8.6,73.6,116.4
Chimezie Metu,Sac,F-C,24.63,1,2.6,5.4,32.8,50,0,0,0,0,1,1,1.5,1.5,3,0,0,0,0,0,0,1,0,0,0
Damian Jones,Sac,C,26.35,1,1.9,4,0,0,0,0,0,0,0,0,0,0,0,1,27.3,0,0,0,0,0,0,0,0
